==============================================================================================
There are 173 records found

Search criteria:
  Start: 2020-01-01		End: 2022-01-05
  0 <= ML <= 10 		0 <= Depth <= 999 		0 <= Plunge <= 90
  Realtime Solutions

File Header:
Date, Time, Latitude, Longitude, CWB Depth, ML, strike1, dip1, slip1, strike2, dip2, slip2, m11, m22, m33, m12, m13, m23, Mrr, Mtt, Mff, Mrt, Mrf, Mtf, exponentexponent, M0, Mw, Centroid_depth, CLVD, ISO, misfit, gap, nsta, Paz, Ppl, Baz, Bpl, Taz, Tpl, QC
==============================================================================================
2020-01-06,06:53:55.5,23.3700,120.2600,7.70,4.70,17.68,44.74,104.26,177.99,46.98,76.28,0.105352,-1.932958,1.863726,0.285009,0.299819,0.117071,1.863726,0.105352,-1.932958,0.299819,-0.117071,-0.285009,22,1.94815e+22,4.13,2,7.8,0.6,0.406,133.900,7,-82.353,1.139,-172.553,9.985,14.087,79.949,B1
2020-01-08,19:06:42.5,23.9100,121.6600,41.10,4.40,204.21,32.73,122.55,347.02,62.89,70.93,0.908285,-6.413182,7.076412,0.821370,-2.417689,-4.201640,7.076412,0.908285,-6.413182,-2.417689,4.201640,-0.821370,21,8.37785e+21,3.89,38,9.6,5.8,0.223,227.800,7,90.918,15.817,-4.024,16.912,-138.410,66.506,A2
2020-01-28,10:05:53.5,23.2200,120.5100,14.40,4.10,10.79,48.24,129.04,140.19,54.59,54.80,0.609413,-4.665964,4.056551,-1.444954,2.383478,-0.088916,4.056551,0.609413,-4.665964,2.383478,0.088916,1.444950,21,5.20345e+21,3.75,15,9.9,0.0,0.335,223.100,7,-105.711,3.512,162.417,28.024,-9.161,61.718,B1
2020-02-03,17:02:56.5,23.5600,121.5400,33.00,4.90,179.72,40.88,57.04,40.34,56.69,115.22,0.098334,-1.200704,1.102370,0.574758,0.496046,-0.206119,1.102370,0.098334,-1.200704,0.496046,0.206119,-0.574758,23,1.3972e+23,4.70,33,22.6,0.0,0.365,228.600,7,112.605,8.414,-154.163,20.859,1.834,67.358,B3
2020-02-07,11:57:39.5,24.3000,122.1300,50.20,4.50,241.10,55.56,149.09,349.81,64.94,38.64,0.347759,-1.042754,0.694995,0.823049,-0.385255,-0.403212,0.694995,0.347759,-1.042754,-0.385255,0.403212,-0.823049,22,1.35427e+22,4.02,50,28.5,0.0,0.383,286.900,7,113.528,5.758,17.732,45.039,-150.808,44.384,B3
2020-02-13,07:44:06.5,22.6600,120.6800,35.50,4.00,176.95,11.98,-118.43,25.91,79.48,-84.23,-0.574519,2.102926,-1.528407,-0.828335,-2.126707,4.402075,-1.528407,-0.574519,2.102926,-2.126707,-4.402070,0.828335,21,5.30391e+21,3.75,34,25.8,0.0,0.476,185.600,3,-56.942,55.163,-155.145,5.671,110.980,34.238,B3
2020-02-15,11:00:06.5,23.8400,121.5200,10.50,5.50,215.86,35.65,72.43,57.15,56.25,102.22,-2.970987,-2.777673,8.394057,3.272396,3.125708,-0.667916,8.394057,-2.970987,-2.777673,3.125708,0.667916,-3.272400,23,8.02658e+23,5.21,14,18.9,9.6,0.254,182.700,7,138.397,10.468,-129.711,10.133,3.422,75.350,A3
2020-02-15,11:05:00.5,23.8500,121.5300,8.40,5.10,203.90,33.87,59.06,59.72,61.44,109.04,-0.758264,-1.019386,1.777288,1.011195,1.169664,-0.245484,1.777288,-0.758264,-1.019386,1.169664,0.245484,-1.011200,23,2.19939e+23,4.83,15,7.7,0.0,0.268,184.900,7,135.948,14.425,-129.640,16.651,7.139,67.686,A1
2020-02-15,19:16:33.5,23.8400,121.5400,8.20,4.00,306.81,28.03,-151.71,191.40,77.13,-64.88,-0.401491,2.691288,-2.292067,1.740765,1.698921,-4.260861,-2.292067,-0.401491,2.691288,1.698921,4.260860,-1.740760,21,5.51366e+21,3.76,14,18.8,0.0,0.314,188.600,7,130.163,51.412,5.438,24.444,-98.440,27.819,B2
